조회일자,품목코드,품목명,소매일일가격
2019-10-10,1201,양파,1308
2019-10-10,1202,대파,4164
2019-10-11,1001,배추,6968
2019-10-11,1101,무,2776
2019-10-11,1207,건고추,12756
2019-10-11,1209,마늘,7044
2019-10-11,1209,마늘,0
2019-10-11,1201,양파,1307
2019-10-11,1202,대파,4155
2019-10-12,1001,배추,6968
2019-10-12,1101,무,2776
2019-10-12,1207,건고추,12691
2019-10-12,1209,마늘,7041
2019-10-12,1209,마늘,0
2019-10-12,1201,양파,1307
2019-10-12,1202,대파,4155
2019-10-13,1001,배추,6968
2019-10-13,1101,무,2776
2019-10-13,1207,건고추,12691
2019-10-13,1209,마늘,7041
2019-10-13,1209,마늘,0
2019-10-13,1201,양파,1307
2019-10-13,1202,대파,4155
2019-10-14,1001,배추,6826
2019-10-14,1101,무,2791
2019-10-14,1207,건고추,12691
2019-10-14,1209,마늘,7041
2019-10-14,1209,마늘,0
2019-10-14,1201,양파,1310
2019-10-14,1202,대파,4144
2019-10-15,1001,배추,6786
2019-10-15,1101,무,2805
2019-10-15,1207,건고추,12677
2019-10-15,1209,마늘,7074
2019-10-15,1209,마늘,0
2019-10-15,1201,양파,1310
2019-10-15,1202,대파,4198
2019-10-16,1001,배추,6626
2019-10-16,1101,무,2818
2019-10-16,1207,건고추,12647
2019-10-16,1209,마늘,7070
2019-10-16,1209,마늘,0
2019-10-16,1201,양파,1301
2019-10-16,1202,대파,4164
2019-10-17,1001,배추,6578
2019-10-17,1101,무,2814
2019-10-17,1207,건고추,12672
2019-10-17,1209,마늘,7014
2019-10-17,1209,마늘,0
2019-10-17,1201,양파,1296
2019-10-17,1202,대파,4287
2019-10-18,1001,배추,6531
2019-10-18,1101,무,2813
2019-10-18,1207,건고추,12672
2019-10-18,1209,마늘,7098
2019-10-18,1209,마늘,0
2019-10-18,1201,양파,1302
2019-10-18,1202,대파,4354
2019-10-19,1001,배추,6531
2019-10-19,1101,무,2813
2019-10-19,1207,건고추,12622
2019-10-19,1209,마늘,7119
2019-10-19,1209,마늘,0
2019-10-19,1201,양파,1302
2019-10-19,1202,대파,4354
2019-10-20,1001,배추,6531
2019-10-20,1101,무,2813
2019-10-20,1207,건고추,12622
2019-10-20,1209,마늘,7119
2019-10-20,1209,마늘,0
2019-10-20,1201,양파,1302
2019-10-20,1202,대파,4354
2019-10-21,1001,배추,6417
2019-10-21,1101,무,2842
2019-10-21,1207,건고추,12622
2019-10-21,1209,마늘,7119
2019-10-21,1209,마늘,0
2019-10-21,1201,양파,1302
2019-10-21,1202,대파,4337
2019-10-22,1001,배추,6291
2019-10-22,1101,무,2842
2019-10-22,1207,건고추,12572
2019-10-22,1209,마늘,7080
2019-10-22,1209,마늘,0
2019-10-22,1201,양파,1299
2019-10-22,1202,대파,4322
2019-10-23,1001,배추,6149
2019-10-23,1101,무,2841
2019-10-23,1207,건고추,12572
2019-10-23,1209,마늘,7080
2019-10-23,1209,마늘,0
2019-10-23,1201,양파,1299
2019-10-23,1202,대파,4385
2019-10-24,1001,배추,6014
2019-10-24,1101,무,2869
2019-10-24,1207,건고추,12541
2019-10-24,1209,마늘,7102
2019-10-24,1209,마늘,0
2019-10-24,1201,양파,1301
2019-10-24,1202,대파,4357
2019-10-25,1001,배추,5680
2019-10-25,1101,무,2866
2019-10-25,1207,건고추,12572
2019-10-25,1209,마늘,7187
2019-10-25,1209,마늘,0
