지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
108,서울,2023-01-01,-.2,-4.3,2350,3.8,1343
108,서울,2023-01-02,-4.5,-7.4,804,-.4,1525
108,서울,2023-01-03,-5,-9,551,.6,1555
108,서울,2023-01-04,-1.8,-5.7,229,3.3,1510
108,서울,2023-01-05,-1.6,-5.6,749,3.6,1536
108,서울,2023-01-06,.6,-4.7,816,5.7,1414
108,서울,2023-01-07,1.5,-1.4,2354,3.8,1336
108,서울,2023-01-08,1.3,-3.7,800,6.3,1522
108,서울,2023-01-09,3.1,-1.3,2400,7,1238
108,서울,2023-01-10,1.6,-3.9,724,9.1,1530
108,서울,2023-01-11,2.6,-2,802,9.2,1410
108,서울,2023-01-12,5.9,-.6,645,12.5,1600
108,서울,2023-01-13,8.3,5.1,225,10.1,1628
108,서울,2023-01-14,6.6,3.8,2328,8.4,1
108,서울,2023-01-15,-.2,-3.5,2338,3.8,1
108,서울,2023-01-16,-4.6,-6.8,849,-1.2,1432
108,서울,2023-01-17,-3.7,-7,311,-.4,1402
108,서울,2023-01-18,-1.9,-4.6,815,2.2,1452
108,서울,2023-01-19,-.4,-6,601,4.3,1419
108,서울,2023-01-20,-3.3,-7.7,2353,2,222
108,서울,2023-01-21,-4.5,-10.5,713,1.5,1522
108,서울,2023-01-22,-.6,-2.8,117,2.6,1533
108,서울,2023-01-23,-.8,-6.9,2354,4.6,1345
108,서울,2023-01-24,-14.7,-17,2354,-6.9,1
108,서울,2023-01-25,-11.3,-17.3,144,-5.4,1620
108,서울,2023-01-26,-6,-9,502,-3.5,1559
108,서울,2023-01-27,-7.3,-9.6,2333,-3.8,1548
108,서울,2023-01-28,-6,-11.2,813,-.6,1554
108,서울,2023-01-29,-1.8,-8,607,4.9,1426
108,서울,2023-01-30,-.9,-4.4,449,4.2,1515
108,서울,2023-01-31,2.4,-3.5,402,7.8,1530
108,서울,2023-02-01,.9,-3,2400,6,1
108,서울,2023-02-02,-2.4,-5.1,719,1.4,1606
108,서울,2023-02-03,-1.6,-3.9,118,3.4,1540
108,서울,2023-02-04,-.2,-5.2,535,6,1528
108,서울,2023-02-05,1.7,-3.3,726,7.1,1338
108,서울,2023-02-06,3,-1.7,716,8.8,1458
108,서울,2023-02-07,3.5,-.6,727,9.5,1546
108,서울,2023-02-08,2.1,-1.3,645,7.8,1505
108,서울,2023-02-09,4,-2.8,509,9.9,1537
108,서울,2023-02-10,3.8,1.1,2356,6.2,1610
108,서울,2023-02-11,2.8,-1.2,703,8.5,1417
108,서울,2023-02-12,3.7,-.9,624,7.6,1351
108,서울,2023-02-13,5.9,2.7,2351,8.4,1219
108,서울,2023-02-14,1.7,-2.5,730,6.6,1521
108,서울,2023-02-15,3.2,-1.2,706,8.9,1558
108,서울,2023-02-16,2.3,-.7,2353,4.5,1459
108,서울,2023-02-17,3.4,-1.5,543,9.8,1542
108,서울,2023-02-18,5.7,3,6,8.1,1529
108,서울,2023-02-19,3.5,.2,2341,6.1,1457
108,서울,2023-02-20,-.5,-3.5,2357,2.4,1419
108,서울,2023-02-21,-1.3,-5.3,759,4.8,1618
108,서울,2023-02-22,1.2,-4.5,712,8.4,1452
108,서울,2023-02-23,2.9,-1.8,629,9.2,1531
108,서울,2023-02-24,3.5,-.4,2400,8.5,1501
108,서울,2023-02-25,.7,-2.9,727,5.7,1527
108,서울,2023-02-26,2.2,-3.4,729,9.4,1534
